Time_s   F0_Hz
1.701667   --undefined--
1.711667   --undefined--
1.721667   --undefined--
1.731667   --undefined--
1.741667   --undefined--
1.751667   --undefined--
1.761667   --undefined--
1.771667   --undefined--
1.781667   --undefined--
1.791667   --undefined--
1.801667   --undefined--
1.811667   --undefined--
1.821667   --undefined--
1.831667   --undefined--
1.841667   --undefined--
1.851667   --undefined--
1.861667   --undefined--
1.871667   --undefined--
1.881667   --undefined--
1.891667   --undefined--
1.901667   --undefined--
1.911667   --undefined--
1.921667   --undefined--
1.931667   --undefined--
1.941667   --undefined--
1.951667   --undefined--
1.961667   --undefined--
1.971667   --undefined--
1.981667   --undefined--
1.991667   --undefined--
2.001667   --undefined--
2.011667   --undefined--
2.021667   --undefined--
2.031667   --undefined--
2.041667   --undefined--
2.051667   --undefined--
2.061667   --undefined--
2.071667   --undefined--
2.081667   --undefined--
2.091667   --undefined--
2.101667   --undefined--
2.111667   --undefined--
2.121667   --undefined--
2.131667   --undefined--
2.141667   --undefined--
2.151667   --undefined--
2.161667   --undefined--
2.171667   --undefined--
2.181667   --undefined--
2.191667   --undefined--
2.201667   --undefined--
2.211667   --undefined--
2.221667   --undefined--
2.231667   --undefined--
4.235667   286.526069
4.236667   444.526069
4.237667   286.526069
2.241667   --undefined--
2.251667   --undefined--
2.261667   --undefined--
2.271667   --undefined--
2.281667   --undefined--
2.291667   --undefined--
2.301667   --undefined--
2.311667   --undefined--
2.321667   --undefined--
2.331667   --undefined--
2.341667   --undefined--
2.351667   --undefined--
2.361667   --undefined--
2.371667   --undefined--
2.381667   --undefined--
2.391667   --undefined--
2.401667   --undefined--
2.411667   --undefined--
2.421667   --undefined--
2.431667   --undefined--
2.441667   --undefined--
2.451667   --undefined--
2.461667   --undefined--
2.471667   --undefined--
2.481667   --undefined--
2.491667   --undefined--
2.501667   --undefined--
2.511667   --undefined--
2.521667   --undefined--
2.531667   --undefined--
2.541667   --undefined--
2.551667   --undefined--
2.561667   --undefined--
2.571667   --undefined--
2.581667   --undefined--
2.591667   --undefined--
2.601667   --undefined--
2.611667   --undefined--
2.621667   --undefined--
2.631667   --undefined--
2.641667   --undefined--
2.651667   --undefined--
2.661667   --undefined--
2.671667   --undefined--
2.681667   --undefined--
2.691667   --undefined--
2.701667   --undefined--
2.711667   --undefined--
2.721667   --undefined--
2.731667   --undefined--
2.741667   --undefined--
2.751667   --undefined--
2.761667   --undefined--
2.771667   --undefined--
2.781667   --undefined--
2.791667   --undefined--
2.801667   --undefined--
2.811667   --undefined--
2.821667   --undefined--
2.831667   --undefined--
2.841667   --undefined--
2.851667   --undefined--
2.861667   --undefined--
2.871667   --undefined--
2.881667   --undefined--
2.891667   --undefined--
2.901667   --undefined--
2.911667   --undefined--
2.921667   --undefined--
2.931667   --undefined--
2.941667   --undefined--
2.951667   --undefined--
2.961667   --undefined--
2.971667   --undefined--
2.981667   --undefined--
2.991667   --undefined--
3.001667   --undefined--
3.011667   --undefined--
3.021667   --undefined--
3.031667   --undefined--
3.041667   --undefined--
3.051667   --undefined--
3.061667   --undefined--
3.071667   --undefined--
3.081667   --undefined--
3.091667   --undefined--
3.101667   --undefined--
3.111667   --undefined--
3.121667   --undefined--
3.131667   --undefined--
3.141667   --undefined--
3.151667   --undefined--
3.161667   --undefined--
3.171667   --undefined--
3.181667   --undefined--
3.191667   --undefined--
3.201667   --undefined--
3.211667   --undefined--
3.221667   --undefined--
3.231667   --undefined--
3.241667   --undefined--
3.251667   --undefined--
3.261667   --undefined--
3.271667   --undefined--
3.281667   --undefined--
3.291667   --undefined--
3.301667   --undefined--
3.311667   --undefined--
3.321667   --undefined--
3.331667   --undefined--
3.341667   --undefined--
3.351667   --undefined--
3.361667   --undefined--
3.371667   --undefined--
3.381667   --undefined--
3.391667   --undefined--
3.401667   --undefined--
3.411667   --undefined--
3.421667   --undefined--
3.431667   --undefined--
3.441667   --undefined--
3.451667   --undefined--
3.461667   --undefined--
3.471667   --undefined--
3.481667   --undefined--
3.491667   --undefined--
3.501667   --undefined--
3.511667   --undefined--
3.521667   --undefined--
3.531667   --undefined--
3.541667   --undefined--
3.551667   --undefined--
3.561667   --undefined--
3.571667   --undefined--
3.581667   --undefined--
3.591667   --undefined--
3.601667   --undefined--
3.611667   --undefined--
3.621667   --undefined--
3.631667   --undefined--
3.641667   --undefined--
3.651667   --undefined--
3.661667   --undefined--
3.671667   --undefined--
3.681667   --undefined--
3.691667   --undefined--
3.701667   --undefined--
3.711667   --undefined--
3.721667   --undefined--
3.731667   --undefined--
3.741667   --undefined--
3.751667   --undefined--
3.761667   --undefined--
3.771667   --undefined--
3.781667   --undefined--
3.791667   --undefined--
3.801667   --undefined--
